"SiteID"	"ID"	"PlaceName"	"NameVariants"	"TribeID"	"Tribe"	"FractionID"	"TribalFraction"	"Description"	"ExtraComments"	"SiloCount1853"	"SiloCount1854"	"SiloCount1884"	"Agha"	"Caïd"	"Cheikh"	"Chaouch"	"Sidi"	"Kadi"	"Bordj"	"AssemblyPlace"	"Dechera"	"Haouch"	"Mechta"	"Beylik"	"House"	"Gourbi"	"GourbiMulti"	"Farm"	"Garden"	"Djenan"	"WellCistern"	"TheshingFloors"	"Matmora"	"Mosque"	"Marabout"	"Cemetery"	"Market"	"Grange"	"HayStraw"	"MajorRoute"	"Path"	"Ruin"	"SmallDam"	"Fields"	"Vines"	"LemonTree"	"AlmondTree"	"OliveTree"	"FigTree"	"Terebinth"	"PomegranateTree"	"CarobTree"	"OakTree"	"ElmTree"	"PoplarTree"	"UndiffTree"	"Maquis"	"OtherPlants"	"Mountain"	"Hill"	"Plateau"	"Escarpment"	"Pass"	"Rock"	"DryHardGround"	"SandyArea"	"Cave"	"Wadi"	"Ravine"	"River"	"Stream"	"Spring"	"Fontaine"	"Depression"	"Plain"	"Prairie"	"Longitude"	"Latitude"	"LocQual"	"LonPlot"	"LatPlot"
52	52	"Beni Djkhedouch"	"Beni Djkhedouch/Beni Jekherouch"	6	"Oulad Alens/Oulad Allans"	21	"Oulad Chenef/Oulad Chenaf"	"au bas d'un rocher/nouvel emplacement"		87	24																																																					1																3.11353	35.937709
177	177	"Bir el Khenafis"	"Bir el Khenafis/Bir el Khouafi"	13	"Douaïres/Douair"	50	"Titry/Tittery"	"(Batia bou Beni Saïa) ouest puits, nord jardin, sud chemin"		65	71																		1		1										1																																							3.013302	35.948102
169	169	"Bira an Madan"	"Bira an Madan/Bir Madan"	12	"Sidi Ahmed ben Joucef/Oulad Si Ahmed ben Youssef"	47	"El Maâthma/El Maademas"	"ouest rocher, est ravin, nord montagne, sud chemin/toute la fraction ensilote sur le coteau est de Bir Madan"		84	57																				1										1																		1					1					1											3.066112	36.09767
22	22	"Birin"	"Birin"	3	"Oulad Mokhtar/Mouïadat Cheraga"	13	"Medablia"					300																																																																	3.283274	35.564549	"B"	3.283274	35.564549
160	160	"Bou Djedian"	"Bou Djedian"	11	"Rebaïas"	45	"Oulad Aataf"	"la maison de Ben Djedian"			70														1																																																							3.138477	36.023569
173	173	"Caadet Fiad Hallouf"	"Caadet Fiad Hallouf"	12	"Oulad Si Ahmed ben Youssef"	48	"Oulad Sidi el Khoidzer"				15																																																	1																				3.051928	36.101311
151	151	"Chaab"	"Chaab"	11	"Rebaïas"	42	"Oulad Ahmed"				120																																																	1									1											3.013933	35.969844
174	174	"Chaabat ben Hemani"	"Chaabat ben Hemani/Cheubet ben Amani"	12	"Oulad Si Ahmed ben Youssef/Sidi Ahmed ben Joucef"	48	"Oulad Sidi el Khoidzer/Zaouïa/Saary"	"ouest ravin, est ravin, sud montagne, nord petit montagne"		23	12																																																1										1											3.044954	36.102092
155	155	"Chaabat el Harmara"	"Chaabat el Harmara/Cheub Lamera"	11	"Rebaïas"	45	"Oulad Aataf"	"au nord de de l'endroit précédent/sud rocher, nord rocher, ouest source, est jardin El Hadj ben Jussef"		50	23																		1																													1						1					1			1								3.15819	35.973758
189	189	"Chaabet Abdallah"	"Chaabet Abdallah"	13	"Douair"	51	"El Aallalema"				39																																																										1											3.005744	36.026491
143	143	"Chabet el Derla"	"Chabet el Derla/Chabal Defela"	11	"Rebaïa/Rebaïas"	43	"Oulad Saal/Oulad Salay"	"au-dessus de la rivière Chabet el Derla, près d'un rocher"		85	50																																																					1					1	1										3.105554	35.986472
113	113	"Chaïb"	"Chaïb"	6	"Oulad Alan"	31	"Bedjama"				60																																																																					3.317386	35.821935
175	175	"Chebour"	"Chebour/Caadet el Achebour"	12	"Sidi Ahmed ben Joucef/Oulad Si Ahmed ben Youssef"	49	"Zaouïa/El Zoua"	"ouest ravin, est ravin, sud Graine, nord Messif-l Gnan"		57	90																																																										1											3.145219	36.105296
78	78	"chez le Cheikh"	"chez le Cheikh"	6	"Oulad Alan"	24	"Zerartta"				20				1																																																																	3.151273	35.8865
165	165	"Dar Ennems"	"Dar Ennems"	11	"Rebaïas"	45	"Oulad Aataf"	"chez Lekhreddin Bin Sekhreri/chez Brahim bin Aïach"			12														1																																																							3.152586	35.980535
27	27	"Dayat el Hamra"	"Dayat el Hamra"	4	"Oulad Sidi Aïssa El Ouerq"	15	"Zabala"					30																																																														1						2.494111	35.410111
24	24	"Dayat el Mita"	"Dayat el Mita"	4	"Oulad Sidi Aïssa El Ouerq"	14	"Oulad Sidi Slimane"					40																																																														1						2.436111	35.349111
157	157	"Debdeb"	"Debdeb/Debdab"	11	"Rebaïa/Rebaïas"	45	"Oulad Atta/Oulad Aataf"	"Au milieu des gourbis de Ben Couïder"		95	48															1	1																																						1															3.241497	35.997741
36	36	"Debdeb"	"Debdeb/à Debdab"	5	"Titteri"	17	"Oulad Atemen/Oulad Atman"	"près d'un chemin"		265	260																														1																								1															3.021814	35.867047
69	69	"El Mechta"	"El Mechta"	6	"Oulad Allans"	23	"Oulad Jabia"	"emplacement nouveau"			7												1																																																									3.162337	35.93833
41	41	"Dra el Abiad"	"Dra el Abiad/Dera Labiod"	5	"Titteri"	20	"El Mehedibah/Elmebadba"	"près d'une rivière"		108	80																																																	1										1										3.015174	35.786582
196	196	"Dra Labiode (ou Dra Roumel/Dra Remel)"	"Dra Labiode (ou Dra Roumel/Dra Remel)/Draa Remel"	13	"Douaïres/Douair"	52	"Oulad Raab nal el Oued/Oulad Rehab"	"Teraat ben el Moumen, ouest rivière, nord rivière, sud chemin de Djebana"		33	86																														1																			1										1										2.910461	35.933473
150	150	"Dra Oulad Moussa"	"Dra Oulad Moussa/Chaab Draa Moussa"	11	"Rebaïa/Rebaïas"	42	"Oulad Hamaïd/Oulad Ahmed"	"au sud ravin, au nord ravin"		290	150																																																	1									1											3.079543	35.96207
148	148	"Draa el Bida"	"Draa el Bida"	11	"Rebaïas"	42	"Oulad Ahmed"				25																																																	1																				3.059324	35.987763
192	192	"Draa el Metnan"	"Draa el Metnan"	13	"Douair"	51	"El Aallalema"				80																																																	1																				3.020988	35.998153
152	152	"Dra el Zouabi"	"Dra el Zouabi/Dra Zouabi"	11	"Rebaïa/Rebaïas"	42	"Oulad Hamaïd/Oulad Ahmed"	"dans la ferme"		22	12																	1																																1																				3.075992	35.942817
106	106	"Dera Errahim"	"Dera Errahim/Dra el Rehaïn"	6	"Oulad Alens/Oulad Alan"	29	"Taaziza/Thaaziz"	"près d'un grand rocher"		150	150																																																					1																3.251282	35.852301
103	103	"El Argoub"	"El Argoub/El Aagouba"	6	"Oulad Alens/Oulad Alan"	29	"Taaziza/Thaaziz"	"entre 2 rochers"		1	30																																																	1				1																3.346393	35.865264
28	28	"El Arich"	"El Arich"	4	"Oulad Sidi Aïssa El Ouerq"	16	"Oulad Betka"					20																																																																				2.510111	35.455111
32	32	"El Beda"	"El Beda/à el Beida"	5	"Titteri"	17	"Oulad Atemen/Oulad Atman"	"près d'un rocher"		12	15																																																					1																3.047386	35.900848
46	46	"El Berdja"	"El Berdja/El Berardjia"	6	"Oulad Alens/Oulad Allans"	21	"Oulad Chenef/Oulad Chenaf"	"entre 2 rochers"		31	30																																																					1																3.08009	35.904295
149	149	"El Chiba"	"El Chiba"	11	"Rebaïas"	42	"Oulad Ahmed"	"à la mechta d'Yhea bou Aïssa"			24												1																																																									3.089834	35.977391
53	53	"El Dalâ"	"El Dalâ"	6	"Oulad Allans"	21	"Oulad Chenaf"				30																																																																					3.096165	35.922926
48	48	"El Djebbassa"	"El Djebbassa"	6	"Oulad Allans"	21	"Oulad Chenaf"				10																																																																					3.128076	35.887814
56	56	"El Djouema"	"El Djouema/El Djouamê"	6	"Oulad Alens/Oulad Allans"	22	"Oulad Abdeloucheb/Oulad Abdelouahab"	"près d'une ferme"		14	13																	1						1																																														3.210844	35.865173
119	119	"El Faouar"	"El Faouar/Fouar"	6	"Oulad Alens/Oulad Alan"	33	"Oulad Belheites/Bel Ytess"	"près d'un jardin, au bas d'un Kef"		95	70																		1																																	1										1								3.370905	35.790516
164	164	"El Frache"	"El Ferech/Fel Fraiche/El Frach"	11	"Rebaïa"	45	"Oulad Atta/Oulad Aataf"	"dans une terre du Beylek/dans la ferme de Couïder ben Abdallah/au nord d'El Frach"		304	120													1				1																																																	2.98029	35.996889	"C"	2.98029	35.996889
73	73	"Gaadat"	"Gaadat"	6	"Oulad Alan"	24	"Zerartta"				15																																																		1																			3.168377	35.895497
13	13	"El Gara"	"El Gara"	1	"Rahman Gheraba"	6	"Oulad Dorid"					170																																																1																	2.861359	35.417983	"B"	2.861359	35.417983
59	59	"El Ghicha"	"El Ghicha"	6	"Oulad Allans"	22	"Oulad Abdelouahab"				63																																																																					3.156816	35.863918
122	122	"El Goufa"	"El Goufa/Gueffa"	6	"Oulad Alens/Oulad Alan"	33	"Oulad Belheites/Bel Ytess"	"dans un mechta"		45	50												1																																																									3.332926	35.760558
66	66	"El Hania"	"El Hania/El Hamia"	6	"Oulad Alens/Oulad Allans"	23	"Oulad Yahya/Oulad Jabia"	"au bas d'un rocher, près d'un mechta"		45	46												1																																									1				1												3.183824	35.95995
65	65	"El Hemiya"	"El Hemiya/El Hamia/El Hamïa"	6	"Oulad Alens/Oulad Allans"	23	"Oulad Yahya/Oulad Jabia/Taaziza"	"au bas d'un rocher/près d'un peuplier/sur une plaine"		56	30																																												1														1						1					3.198603	35.984987
64	64	"El Houamil"	"El Houamil"	6	"Oulad Allans"	23	"Oulad Jabia"	"nouvel emplacement"			10																																																																					3.239133	35.969155
179	179	"El Kehela"	"El Kehela"	13	"Douair"	50	"Tittery"				80																																																																					2.978566	35.922804
43	43	"El Kheneg"	"(El Kheneg)?/El Kheneg"	5	"Titteri"	20	"El Mehedibah/Elmebadba"	"près d'un jardin"		24	27																		1																																								1											3.042736	35.779354
14	14	"El Madour"	"El Madour"	2	"Rahman Cheraga"	7	"Oulad Mebarek and Oulad Saïdan"					600																																																																	2.917792	35.793793	"B"	2.917792	35.793793
54	54	"El Mechta"	"El Mechta"	6	"Oulad Allans/Oulad Alens"	21	"Oulad Chenaf/Oulad Abdeloucheb"	"nouvel emplacement/près d'un ruisseau"		74	15												1																																																1									3.101613	35.902512
80	80	"Meguil"	"Meguil"	6	"Oulad Alan"	25	"El Maaguif"				19																																																																					3.176195	35.822953
61	61	"El Safsafa"	"El Safsafa"	6	"Oulad Allans"	22	"Oulad Abdelouahab"				33																																												1																									3.117931	35.847982
33	33	"El Sed"	"à el Sed"	5	"Titteri"	17	"Oulad Atman"				30																																1																																					3.028467	35.872527
50	50	"Essenaa"	"Essenaa"	6	"Oulad Allans"	21	"Oulad Chenaf"	"nouvel emplacement"			25																																																																					3.08539	35.889023
51	51	"Fehima"	"Fehima/El Fahim"	6	"Oulad Alens/Oulad Allans"	21	"Oulad Chenef/Oulad Chenaf"	"au bas du Kef Lakhdar"		60	50																																																			1															3.278131	35.907735	"B"	3.278131	35.907735
75	75	"El Faïdj"	"El Faïdj"	6	"Oulad Alan"	24	"Zerartta"				16																																																				1																	3.15471	35.908992
138	138	"Fi Chaba"	"Fi Chaba/El Cheheba"	11	"Rebaïa/Rebaïas"	40	"Oulad Saala/Oulad Salah"	"à l'est source, au nord la rivière"		68	58																																																										1	1		1								3.195206	36.046665
45	45	"Gaad el Siah"	"Gaad el Siah/Gaada el Siah"	6	"Oulad Alens/Oulad Allans"	21	"Oulad Chenef/Oulad Chenaf"	"entre 2 rivières"		100	120																																																		1									1										3.11863	35.951532
79	79	"Gaada"	"Gaada"	6	"Oulad Alan"	25	"El Maaguif"				32																																																		1																			3.19731	35.822205
158	158	"Gaadet Oulad Ortman"	"Gaadet Oulad Ortman"	11	"Rebaïas"	45	"Oulad Aataf"				20																																																		1																			3.149483	36.014555
186	186	"Ghiran Hedid"	"Ghiran Hedid"	13	"Douair"	51	"El Aallalema"				24																																																								1													3.001743	36.036227
139	139	"Gouabi"	"Gouabi/El Khrouab"	11	"Rebaïa/Rebaïas"	40	"Oulad Saala/Oulad Salah"	"au milieu de la broussailles, près du ravin des sangliers, à l'est d'un montagne près du chemin des marches"		35	30																														1																1		1										1											3.151121	36.079982
76	76	"Guebela"	"Guebela"	6	"Oulad Alan"	24	"Zerartta"				24																																																																					3.190936	35.895228
49	49	"Guossin el Hamir"	"Guossin el Hamir"	6	"Oulad Allans"	21	"Oulad Chenaf"	"nouvel emplacement"			24																																																																					3.13837	35.923285
183	183	"Hemia Foda"	"Hemia Foda"	13	"Douair"	50	"Tittery"				50																																																																					3.028948	35.951111
34	34	"Harmela"	"à Harmela"	5	"Titteri"	17	"Oulad Atman"	"au nord du haouch de Ben Tahia"			20											1																																				1																						3.042752	35.877863
153	153	"Hazba"	"Hazba"	11	"Rebaïas"	42	"Oulad Ahmed"	"appartenant au Caïd des Rebaïas"			6			1																																																																		3.014365	35.970788
47	47	"Houfrat Chohra"	"Hafrer Chohra/Hafra Chahra"	6	"Oulad Alens/Oulad Allans"	21	"Oulad Chenef/Oulad Chenaf"	"près d'un jardin"		45	50																		1																																																			3.095264	35.948489
105	105	"Kef el Djelid"	"Kef el Djelid/Kaf Djelid"	6	"Oulad Alens/Oulad Alan"	29	"Taaziza/Thaaziz"	"au bas d'un rocher"		27	22																																																			1		1																3.294998	35.89133
133	133	"Khreng el Aarar"	"Khreng el Aarar"	9	"Sahari"	36	"Sahari"				200																																																										1											3.342856	35.466905
156	156	"Kerima"	"Kerima/Krimma"	11	"Rebaïas"	45	"Oulad Aataf"	"est jardin, sud Aïn, ouest rocher et Aïn, nord rocher"		105	150																		1																																			1								1								3.092189	36.04155
168	168	"Ksaïb"	"Ksaïb/Kessiba"	11	"Rebaïa/Rebaïas"	46	"Oulad Si Mohamed/Oulad Sidi Mehemed"	"près d'un marabout , à l'est d'un ravin, au nord du broussailes et un ravin"		65	40																								1																						1												1											3.206252	36.024983
23	23	"Labiod"	"Labiod"	3	"Oulad Mokhtar/Mouïadat Cheraga"	13	"Medablia"					130																																																																	3.355525	35.600191	"B"	3.355525	35.600191
87	87	"Medjelès"	"Medjelès"	6	"Oulad Alan"	27	"Oulad Sidi Amer"				24									1																																																												3.197933	35.692394
172	172	"Mechta el Kadim"	"Mechta el Kadim"	12	"Oulad Si Ahmed ben Youssef"	48	"Oulad Sidi el Khoidzer"				20												1																																																									3.029033	36.111452
100	100	"Mechta el Amri"	"Mechta el Amri"	6	"Oulad Alan"	29	"Thaaziz"				65												1																																																									3.322647	35.865685
40	40	"Mechter Lahmar"	"Mechter Lahmar/à Mechta el Ahmar"	5	"Titteri"	20	"El Mehedibah/Elmebadba"	"près d'un mechta"		60	50												1																																																									3.06303	35.805783
178	178	"Neumenia"	"Neumenia/Nuamania"	13	"Douaïres/Douair"	50	"Titry/Tittery"	"(Amed ben Belhout) ouest lieu appelé Fuama, nord chemin, est rivière, sud rivière"		59	57																														1																													1										3.058612	35.938168
109	109	"Om el Hhelalif"	"Om el Hhelalif"	6	"Oulad Alan"	30	"Oulad Khalifa"				50																																																																					3.316921	35.855155
128	128	"Oued el Aleg"	"Oued el Aleg"	9	"Sahari"	36	"Sahari"				131																																																									1												3.665409	35.491533
2	2	"Ras el Aïn"	"Ras el Aïn"	1	"Rahman Gheraba"	1	"Oulad Labiili"					300																																																1												1					2.880766	35.451204	"B"	2.880766	35.451204
131	131	"Ras Khreng el Terfa"	"Ras Khreng el Terfa"	9	"Sahari"	36	"Sahari"				126																																																	1																				3.472586	35.373651
191	191	"Redjeradj"	"Redjeradj"	13	"Douair"	51	"El Aallalema"				40																																																																					2.98069	36.016294
198	198	"Rheghba"	"Rheghba/Regeb/Regeb (?firdjen el Kef)/Regab"	13	"Douaïres/Douair"	52	"Oulad Raab nal el Oued/Oulad Raab nal el Regeb/Oulad Rehab Abdel Regab"	"ouest ravin, nord montagne, est ravin, sud chemin/(Abdallah ben el Allah) ouest chemin, nord chemin, est ravin, sud chemin/Bou Alli, ouest rocher, nord rocher, est ravin, sud chemin"		580	240																														1																		1				1	1					1											2.907985	35.928922
29	29	"Remila"	"Remila"	4	"Oulad Sidi Aïssa El Ouerq"	16	"Oulad Betka"					20																																																						1														2.527111	35.488111
190	190	"Rethel"	"Rethel"	13	"Douair"	51	"El Aallalema"				15																																																																					3.004406	36.002041
25	25	"Sed Lakhal"	"Sed Lakhal"	4	"Oulad Sidi Aïssa El Ouerq"	14	"Oulad Sidi Slimane"					40																															1																																					2.416111	35.327111
86	86	"Sed"	"Sed"	6	"Oulad Alan"	27	"Oulad Sidi Amer"				340																																1																																					3.170594	35.70238
181	181	"Selka Fiod el Mecheta"	"Selka Fiod el Mecheta"	13	"Douaïres/Douair"	50	"Titry/Tittery"	"nord chemin, sud chemin"		136	110												1																		1																											1												3.017856	35.947026
95	95	"Sidi Abdelkader"	"Sidi Abdelkader/Sidi Abdelhadri"	6	"Oulad Alens/Oulad Alan"	28	"El Belida/Lebabda"	"près d'une fontaine/Dans la ?maison de Sidi Abdelhadri"		109	70						1								1																																																1							3.225779	35.918437
129	129	"sous les terres de Salem"	"sous les terres de Salem"	9	"Sahari"	36	"Sahari"	"sous ses terres"			130																																	1																																				3.6411	35.418555
184	184	"Theniet el Rihh"	"Teniet Rìhè/Teniet el Rihh"	13	"Douaïres/Douair"	51	"El Alalma/El Aallalema"	"ouest chemin, nord montagne, est petite montagne, sud chemin d'Alefa"		105	80																														1																		1				1																	2.990427	36.030849
136	136	"Toumiat"	"Toumiat"	10	"Oulad Sidi Aïssa el Adab/el Ahhedab"	39	"Oulad Sidi Labah"				70																																																																					3.48367	35.250325
1	1	"Zoubia"	"Zoubia"	1	"Rahman Gheraba"	1	"Oulad Labiili"					500																																																																	2.895561	35.718674	"B"	2.895561	35.718674
154	154	"Zoudj an Kaïl"	"Zoudj an Kaïl/Zoudj Kehhil"	11	"Rebaïa/Rebaïas"	42	"Oulad Hamaïd/Oulad Ahmed"	"au frère du Caïd/appartenant au Caïd des Rebaïas"		6	6			1																																																																		3.064794	35.965725
37	37	"Debdeb (Tighaza?)"	"Debdeb (Tighaza?)/à Tighaza"	5	"Titteri"	18	"Oulad Debeb/Oulad Debab"	"entre la rivière et un mechta/dans Debdab"		186	174												1																																				1						1					1										3.013959	35.856605
144	144	"Dra el Kerma"	"Dra el Kerma/Rad el Kerma"	11	"Rebaïa/Rebaïas"	43	"Oulad Saal/Oulad Salay"	"près de la rivière appelé Chabet Allous, au-dessus d'un petit mamelon/à la mechta du Cadi di Messaoud/au sud de la mechta ?saisonnière?"		51	38							1					1																																					1										1										3.145535	35.984443
19	19	"Besbessi"	"Besbessi/El Besbessi/Besbassi"	3	"Oulad Mokhtar/Mouïadat Cheraga"	11	"Oulad Mokhtar/Mekhalif/Oulad Mokhtar/El Moyadets/Mouïdat"	"sur la plaine"		487	400	120																																																																	3.282471	35.616619	"B"	3.282471	35.616619
15	15	"Ferania"	"Ferania"	2	"Rahman Cheraga"	8	"Oulad Dilfoloh"					150																																																																	2.981352	35.650183	"B"	2.981352	35.650183
39	39	"El Gaada el Bida"	"El Gaada el Bida/à Gaada el Beda"	5	"Titteri"	20	"El Mehedibah/Elmebadba"	"près d'un mechta"		190	150												1																																						1																			3.035928	35.771373
6	6	"Dazel el Hadjel"	"Dazel el Hadjel"	1	"Rahman Gheraba"	4	"Oulad Aïfou"					240																																																																	2.782495	35.41447	"B"	2.782495	35.41447
30	30	"Kerked el Haouch (lower)"	"Kerked el Haouch (lower)/en son Haouch (inférieur)"	5	"Titteri"	17	"Oulad Atemen/Oulad Atman"	"près de la ferme du Bach Agha (celle du bas)/au sud et au nord du haouch"		76	30											1						1																																																				3.044939	35.907313
31	31	"Kerked el Haouch (upper)"	"Kerked el Haouch (upper)/au Haouch (supérieur)"	5	"Titteri"	17	"Oulad Atemen/Oulad Atman"	"près de la ferme du Bach Agha (celle du haut)/au sud de ce haouch"		6	20											1						1																																																				3.04564	35.887711
102	102	"El Mechta"	"El Mechta"	6	"Oulad Alan"	29	"Thaaziz"				30												1																																																									3.269074	35.851021
85	85	"El Faïdja"	"El Faïdja"	6	"Oulad Alan"	27	"Oulad Sidi Amer"				38																														1																						1																	3.130058	35.711876
12	12	"Ferah el Ouza"	"Ferah el Ouza"	1	"Rahman Gheraba"	6	"Oulad Dorid"					300																																																																	2.921321	35.694847	"B"	2.921321	35.694847
4	4	"Bougzizal"	"Bougzizal"	1	"Rahman Gheraba/Rahman Cheraga"	2	"Oulad Slemo/L. Beguiale Rezigat"					700																																																																	2.920023	35.760274	"B"	2.920023	35.760274
9	9	"Habbil"	"Habbil"	1	"Rahman Gheraba"	5	"Nouïral"					160																																																																	2.955892	35.722296	"B"	2.955892	35.722296
35	35	"Ras el Aïn Harmela"	"à Ras el Aïn Harmela/Aïn Harmela"	5	"Titteri"	17	"Oulad Atman/Oulad Debeb"	"près d'un ruisseau"		12	10																																															1		1										1	1	1								3.040403	35.871584
5	5	"Knof Eddiba"	"Knof Eddiba"	1	"Rahman Gheraba"	3	"Oulad Mansour"					260																																																				1													2.840912	35.301357	"B"	2.840912	35.301357
17	17	"Ben Nahr"	"Ben Nahr"	2	"Rahman Cheraga"	9	"El Asouan"					500																																																										1							3.080236	35.493403	"B"	3.080236	35.493403
3	3	"Oulad Slemo Mader"	"Oulad Slemo Mader"	1	"Rahman Gheraba"	2	"Oulad Slemo"					450																																																																	2.917792	35.793793	"B"	2.917792	35.793793
10	10	"Oulad Si Yacoub"	"Oulad Si Yacoub"	1	"Rahman Gheraba"	5	"Nouïral"					130					1																																																												2.743441	35.22444	"B"	2.743441	35.22444
16	16	"M'nezbel"	"M'nezbel"	2	"Rahman Cheraga"	8	"Oulad Dilfoloh"					600																																																																	3.056428	35.576517	"B"	3.056428	35.576517
7	7	"Bouchiga"	"Bouchiga"	1	"Rahman Gheraba"	4	"Oulad Aïfou"					180																																																																	2.728878	35.370796	"B"	2.728878	35.370796
8	8	"M'Hardja"	"M'Hardja"	1	"Rahman Gheraba"	5	"Nouïral"					150																																																																	2.837565	35.138561	"B"	2.837565	35.138561
11	11	"Lokhli"	"Lokhli"	1	"Rahman Gheraba"	5	"Nouïral"					90																																																																	2.845245	35.381534	"B"	2.845245	35.381534
20	20	"Medablia"	"Medablia"	3	"Oulad Mokhtar/Mouïadat Cheraga"	11	"Mekhalif"					300																																																																	3.350943	35.56005	"B"	3.350943	35.56005
21	21	"Abaziz"	"Abaziz"	3	"Oulad Mokhtar/Mouïadat Cheraga"	11	"Mekhalif"					110																																																																	3.398277	35.617497	"B"	3.398277	35.617497
26	26	"Zebark Bou Touïl"	"Zebark Bou Touïl"	4	"Oulad Sidi Aïssa El Ouerq"	15	"Zabala"					50																																																																				2.480111	35.390111
38	38	"El Gromat"	"El Gromat/à el Guerimat"	5	"Titteri"	19	"Oulad Seid/Oulad Saïd"	"au pied d'une montagne"		63	76																																																																					3.024334	35.818824
42	42	"El Madjen"	"El Madjen/El Medjen"	5	"Titteri"	20	"El Mehedibah/Elmebadba"	"près d'un mechta"		21	20												1																																																									3.057598	35.777889
60	60	"Enneha"	"Enneha"	6	"Oulad Allans"	22	"Oulad Abdelouahab"				24																																																																					3.205139	35.843117
62	62	"Bouaben"	"Bouaben/Bouaban"	6	"Oulad Alens/Oulad Allans"	23	"Oulad Yahya/Oulad Jabia"	"entre 2 ruisseaux"		180	50																																																												1									3.240094	35.976223
67	67	"Dehendi"	"Dehendi/Dahenda"	6	"Oulad Alens/Oulad Allans"	23	"Oulad Yahya/Oulad Jabia"	"près d'un cimetière"		56	32																									1																																												3.237937	35.967878
68	68	"Dellia"	"Dellia/Eddalia"	6	"Oulad Alens/Oulad Allans"	23	"Oulad Yahya/Oulad Jabia"	"près d'un mechta"		74	87												1																																																									3.183324	35.923596
70	70	"El Maas Ker"	"El Maas Ker"	6	"Oulad Allans"	23	"Oulad Jabia"				13																																																																					3.177835	35.983981
