"SRID"	"Year"	"Tribe"	"TribeID"	"TribalFraction"	"FractionID"	"Leader"	"PlaceName"	"SiteID"	"SiloCount"	"Observations"	"Source"	"OtherComments"
924	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Aïn Boussif"	55	12	"entre une fontaine, une prairie et un rocher"	"ANOM GGA 50II 240"	
925	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Sidi Abdelkader"	95	109	"près d'une fontaine"	"ANOM GGA 50II 240"	
926	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Dïaha"	705	2	"sur la plaine"	"ANOM GGA 50II 240"	
927	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"El Berda"	706	111	"entre une rivière et un rocher"	"ANOM GGA 50II 240"	
887	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Haouch"	677	52	"près d'une maison"	"ANOM GGA 50II 240"	
888	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Bou Kerbed"	678	32	"sur une plaine, sur un rocher"	"ANOM GGA 50II 240"	
889	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Guelib"	679	1	"entre 2 rivières"	"ANOM GGA 50II 240"	
890	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Maghrella"	680	1	"sur une plaine"	"ANOM GGA 50II 240"	
891	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Gaadet Jerduda"	681	68	"sur un mamelon"	"ANOM GGA 50II 240"	
892	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Kom el Kheba"	682	12	"près d'un ruisseau"	"ANOM GGA 50II 240"	
893	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Kom el Kheba (extra)"	683	1	"sur une plaine"	"ANOM GGA 50II 240"	
894	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Achir"	684	62	"près d'une montagne"	"ANOM GGA 50II 240"	
895	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Ahniet"	685	1	"sur une plaine"	"ANOM GGA 50II 240"	
896	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Trifiya"	104	30	"près d'une rivière"	"ANOM GGA 50II 240"	
897	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Hamia"	65	1	"près d'un peuplier"	"ANOM GGA 50II 240"	
898	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Kef el Djelid"	105	27	"au bas d'un rocher"	"ANOM GGA 50II 240"	
899	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Kef el Nagru"	686	11	"au bas d'un Kef"	"ANOM GGA 50II 240"	
900	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Djenen"	687	44	"près d'un jardin"	"ANOM GGA 50II 240"	
901	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Mardja Hareham"	688	1	"près d'un ravin"	"ANOM GGA 50II 240"	
902	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Karma"	689	44	"entre 2 ruisseaux"	"ANOM GGA 50II 240"	
903	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Argoub"	103	1	"entre 2 rochers"	"ANOM GGA 50II 240"	
904	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"Dera Errahim"	106	150	"près d'un grand rocher"	"ANOM GGA 50II 240"	
905	1853	"Oulad Alens"	6	"Taaziza"	29	"El Hadj Couider"	"El Hamïa"	65	1	"sur une plaine"	"ANOM GGA 50II 240"	
928	1853	"Oulad Alens"	6	"Oulad di Khalif"	30	"Darradji"	"El Djenien"	707	60	"entre 2 ravins, près d'un mechta"	"ANOM GGA 50II 240"	
906	1853	"Oulad Alens"	6	"El Adjema"	31	"El Mehdi"	"Dafier Auda"	690	90	"entre un rocher et un ravin"	"ANOM GGA 50II 240"	
907	1853	"Oulad Alens"	6	"El Adjema"	31	"El Mehdi"	"Chif Kanoun"	691	94	"près d'un rocher"	"ANOM GGA 50II 240"	
908	1853	"Oulad Alens"	6	"El Adjema"	31	"El Mehdi"	"Tiriez"	692	57	"entre un rocher et un ruisseau"	"ANOM GGA 50II 240"	
909	1853	"Oulad Alens"	6	"El Adjema"	31	"El Mehdi"	"Sid ben Rahman"	693	21	"entre un rocher et un ruisseau"	"ANOM GGA 50II 240"	
910	1853	"Oulad Alens"	6	"El Adjema"	31	"El Mehdi"	"El Benïa"	114	90	"près d'une ruine"	"ANOM GGA 50II 240"	
911	1853	"Oulad Alens"	6	"El Adjema"	31	"El Mehdi"	"Aïn el Kahla"	694	1	"près d'une fontaine"	"ANOM GGA 50II 240"	
912	1853	"Oulad Alens"	6	"El Adjema"	31	"El Mehdi"	"El Mechta"	695	1	"près d'une fontaine"	"ANOM GGA 50II 240"	
948	1853	"Oulad Alens"	6	"Oulad Si Mechared"	32	"Si Ali El Rabia"	"Tehal"	116	23	"près d'une ferme, entre 2 mamelons"	"ANOM GGA 50II 240"	
949	1853	"Oulad Alens"	6	"Oulad Si Mechared"	32	"Si Ali El Rabia"	"El Koudia"	719	1	"près d'une ferme"	"ANOM GGA 50II 240"	
950	1853	"Oulad Alens"	6	"Oulad Si Mechared"	32	"Si Ali El Rabia"	"Aïn Gouker"	720	41	"entre 2 ruisseaux, entre 2 chemins"	"ANOM GGA 50II 240"	
951	1853	"Oulad Alens"	6	"Oulad Si Mechared"	32	"Si Ali El Rabia"	"El Mekemelia"	118	65	"près d'une grosse pierre entre 2 montagnes"	"ANOM GGA 50II 240"	
929	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"El Faouar"	119	95	"près d'un jardin, au bas d'un Kef"	"ANOM GGA 50II 240"	
930	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"El Moukeni"	708	67	"entre 2 jardins"	"ANOM GGA 50II 240"	
931	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"El Kheril Guiya"	121	72	"entre des rochers"	"ANOM GGA 50II 240"	
932	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"El Goufa"	122	45	"dans un mechta"	"ANOM GGA 50II 240"	
933	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"Defeiliea"	124	39	"près d'un jardin au bas d'une montagne"	"ANOM GGA 50II 240"	
934	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"Gaadet bel Keïr"	709	95	"entre 2 rochers près d'un mechta"	"ANOM GGA 50II 240"	
935	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"El Oueguediya"	123	42	"entre 2 jardins"	"ANOM GGA 50II 240"	
936	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"El Halloufa"	710	3	"sur une plaine"	"ANOM GGA 50II 240"	
937	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"El Kheneg"	711	1	"sur une plaine"	"ANOM GGA 50II 240"	
938	1853	"Oulad Alens"	6	"Oulad Belheites"	33	"Couider ben ?Khouridji"	"El Kharbouchïa"	712	6	"près d'un chemin"	"ANOM GGA 50II 240"	
947	1853	"El Moyadets"	8	"El Moyadets"	35		"El Besbessi"	19	486	"sur la plaine"	"ANOM GGA 50II 240"	
821	1853	"Rebaïa"	11	"Oulad Saala"	40	"Dendenni"	"Gouabi"	139	35	"au milieu de la broussailles, près du ravin des sangliers, à l'est d'un montagne près du chemin des marches"	"ANOM GGA 50II 240"	
822	1853	"Rebaïa"	11	"Oulad Saala"	40	"Dendenni"	"Fi Chaba"	138	68	"à l'est source, au nord la rivière"	"ANOM GGA 50II 240"	
823	1853	"Rebaïa"	11	"Oulad Saala"	40	"Dendenni"	"Bou Kem Nichi/Chergi"	137	95	"près de la rivière appelé Bougel Fesaïl"	"ANOM GGA 50II 240"	
827	1853	"Rebaïa"	11	"Oulad Hamaïd"	42	"El Hadj Mameur"	"Fi Chabet Saken"	652	189	"au sud du ravin, nord un grand ravin"	"ANOM GGA 50II 240"	
828	1853	"Rebaïa"	11	"Oulad Hamaïd"	42	"El Hadj Mameur"	"Dra Oulad Moussa"	150	290	"au sud ravin, au nord ravin"	"ANOM GGA 50II 240"	
829	1853	"Rebaïa"	11	"Oulad Hamaïd"	42	"El Hadj Kouider"	"Dra el Zouabi"	152	22	"dans la ferme"	"ANOM GGA 50II 240"	
830	1853	"Rebaïa"	11	"Oulad Hamaïd"	42	"El Hadj Amed ben Saïb"	"Fed Aroth"	653	55	"est un petit mamelon, au sud une petite rivière, à l'est une maison couverte en terre, au nord broussailles"	"ANOM GGA 50II 240"	
831	1853	"Rebaïa"	11	"Oulad Hamaïd"	42	"El Hadj Amed ben Saïb"	"Fed Taïba"	654	26	"à l'ouest rivière, sud un rocher de plâtre, nord ravin"	"ANOM GGA 50II 240"	
832	1853	"Rebaïa"	11	"Oulad Hamaïd"	42	"El Hadj Amed ben Saïb"	"Dra Labiod"	655	61	"près des arbres, au sud ravin, au nord ravin, près d'un source"	"ANOM GGA 50II 240"	
833	1853	"Rebaïa"	11	"Oulad Hamaïd"	42	"El Hadj Amed ben Saïb"	"Dra Lameur"	656	18	"près d'un ravin et des gourbis"	"ANOM GGA 50II 240"	
834	1853	"Rebaïa"	11	"Oulad Hamaïd"	42	"El Hadj Mameur"	"Zoudj an Kaïl"	154	6	"au frère du Caïd"	"ANOM GGA 50II 240"	
824	1853	"Rebaïa"	11	"Oulad Saal"	43	"El Athaouri"	"Dra el Kerma"	144	51	"près de la rivière appelé Chabet Allous, au-dessus d'un ptit mamelon"	"ANOM GGA 50II 240"	
825	1853	"Rebaïa"	11	"Oulad Saal"	43	"El Athaouri"	"Chabet el Derla"	143	85	"au-dessus de la rivière Chabet el Derla, près d'un rocher"	"ANOM GGA 50II 240"	
826	1853	"Rebaïa"	11	"Oulad Saal"	43	"El Athaouri"	"Dra el Hadj"	651	49	"au milieu de la broussailles"	"ANOM GGA 50II 240"	
808	1853	"Rebaïa"	11	"Oulad Atta"	45	"El Hadj Ben Jussef"	"Krimma"	156	105	"est jardin, sud Aïn, ouest rocher et Aïn, nord rocher"	"ANOM GGA 50II 240"	
809	1853	"Rebaïa"	11	"Oulad Atta"	45	"El Hadj Ben Jussef"	"Cheub Lamera"	155	50	"sud rocher, nord rocher, ouest source, est jardin El Hadj ben Jussef"	"ANOM GGA 50II 240"	
810	1853	"Rebaïa"	11	"Oulad Atta"	45	"Kouider ben Saad"	"El Gada"	646	19	"Est prairie de Bou Sadem, sud rivière, nord la plaine, ouest idem"	"ANOM GGA 50II 240"	
811	1853	"Rebaïa"	11	"Oulad Atta"	45	"Kouider ben Saad"	"Debdeb"	157	95	"Au milieu des gourbis de Ben Couïder"	"ANOM GGA 50II 240"	
812	1853	"Rebaïa"	11	"Oulad Atta"	45	"Kouider ben Saad"	"F. el Fraiche"	164	207	"dans une terre du Beylek"	"ANOM GGA 50II 240"	
813	1853	"Rebaïa"	11	"Oulad Atta"	45	"Kouider ben Saad"	"F. el Fraiche"	164	97	"dans la ferm de Couïder ben Abdallah"	"ANOM GGA 50II 240"	
814	1853	"Rebaïa"	11	"Oulad Atta"	45	"Kouider ben Saad"	"F. el Oued and El Bir el Turci"	648	15	"au milieu de la ferme de Couïder ben Sakri"	"ANOM GGA 50II 240"	
815	1853	"Rebaïa"	11	"Oulad Atta"	45	"Kouider ben Saad"	"Regeda"	649	16	"(Mohamed ben Abderahman) entre la terre de l'Oued Chaïr (Si Amed ben Jussed et Oulad Deir)"	"ANOM GGA 50II 240"	
816	1853	"Rebaïa"	11	"Oulad Atta"	45	"Kouider ben Saad"	"Gâmes"	161	13	"est près d'un mamelon, ouest montagne, nord mamelon, sud la plaine"	"ANOM GGA 50II 240"	
817	1853	"Rebaïa"	11	"Oulad Si Mohamed"	46	"Mohamed ben Sefiti"	"Ksaïb"	168	65	"près d'un marabout , à l'est d'un ravin, au nord du broussailes et un ravin"	"ANOM GGA 50II 240"	
818	1853	"Rebaïa"	11	"Oulad Si Mohamed"	46	"Mohamed ben Sefiti"	"Mel Gassem"	166	28	"nord ravin, sud chemin, ouest les gourbis d'Amed ben Sefti"	"ANOM GGA 50II 240"	
819	1853	"Rebaïa"	11	"Oulad Si Mohamed"	46	"Mohamed ben Sefiti"	"Aïn el Hedjar"	167	50	"près de deux arbres, d'un source et d'un ravin"	"ANOM GGA 50II 240"	
820	1853	"Rebaïa"	11	"Oulad Si Mohamed"	46	"Mohamed ben Sefiti"	"Dar el Beida"	650	10	"près du gourbi entouré de broussailles"	"ANOM GGA 50II 240"	
837	1853	"Sidi Ahmed ben Joucef"	12	"El Maâthma"	47	"Mohamed ben Mbarek"	"Bira an Madan"	169	84	"ouest rocher, est ravin, nord montagne, sud chemin"	"ANOM GGA 50II 240"	
838	1853	"Sidi Ahmed ben Joucef"	12	"El Gouia"	48	"Abdel Baki ben Couider"	"Dra Lamer"	657	27	"ouest ravin, est ravin, nord grands arbres"	"ANOM GGA 50II 240"	
839	1853	"Sidi Ahmed ben Joucef"	12	"El Gouia"	48	"Abdel Baki ben Couider"	"Feth Attager"	658	30	"ouest rivière, est broussailles, nord gourbi, sud gourbi du Cheikh"	"ANOM GGA 50II 240"	
835	1853	"Sidi Ahmed ben Joucef"	12	"Zaouïa"	49	"Abdel Bel Kher"	"Chebour"	175	57	"ouest ravin, est ravin, sud Graine, nord Messif-l Gnan"	"ANOM GGA 50II 240"	
836	1853	"Sidi Ahmed ben Joucef"	12	"Zaouïa/Saary"	49	"Abdel Bel Kher"	"Cheubet ben Amani"	174	23	"ouest ravin, est ravin, sud montagne, nord petit montagne"	"ANOM GGA 50II 240"	
705	1853	"Douaïres"	13	"Titry"	50	"El Hadj ben Assouni"	"Charounïa"	180	99	"ouest rocher, nord Bled Mohamed ben Aïssa, est rivière, sud petit rocher"	"ANOM GGA 50II 240"	
706	1853	"Douaïres"	13	"Titry"	50	"El Hadj ben Assouni"	"Charounïa ala Ras el Oued"	596	77	"ouest coudia (petit montagne), nord petit mamelon, sud la plaine"	"ANOM GGA 50II 240"	
707	1853	"Douaïres"	13	"Titry"	50	"El Hadj ben Assouni"	"Amet Fiza"	597	62	"(El Nidjagi ben Bel Abbas), ouest rivière, nord mamelon, sud rivière"	"ANOM GGA 50II 240"	
708	1853	"Douaïres"	13	"Titry"	50	"El Hadj ben Assouni"	"Selka Fiod el Mecheta"	181	136	"nord chemin, sud chemin"	"ANOM GGA 50II 240"	
709	1853	"Douaïres"	13	"Titry"	50	"El Hadj ben Assouni"	"Srif"	598	30	"Miloud ben di Mohamed, ouest chemin, est rivière, sud le marché du mardi"	"ANOM GGA 50II 240"	
710	1853	"Douaïres"	13	"Titry"	50	"El Hadj ben Assouni"	"Kâla"	599	105	"Ben Jussef ben il Ghoudja, ouest rivière, nord rivière, est terre du Beylek, sud chemin"	"ANOM GGA 50II 240"	
711	1853	"Douaïres"	13	"Titry"	50	"El Hadj ben Assouni"	"Neumenia"	178	59	"Amed ben Belhout) ouest lieu appelé Fuama, nord chemin, est rivière, sud rivière"	"ANOM GGA 50II 240"	
712	1853	"Douaïres"	13	"Titry"	50	"El Hadj ben Assouni"	"Bir el Khenafis"	177	65	"(Batia bou Beni Saïa) ouest puits, nord jardin, sud chemin"	"ANOM GGA 50II 240"	
700	1853	"Douaïres"	13	"El Alalma"	51	"Sleman ben Miliani"	"Theniet el Rihh"	184	105	"ouest chemin, nord montagne, est petite montagne, sud chemin d'Alefa"	"ANOM GGA 50II 240"	
701	1853	"Douaïres"	13	"El Alalma"	51	"Sleman ben Miliani"	"Aïn Seïdan"	185	40	"ouest lieu appelé Cobra el Aoud, nord lieu appelé Afer Debir, est sables, sud montagne"	"ANOM GGA 50II 240"	
702	1853	"Douaïres"	13	"El Alalma"	51	"Sleman ben Miliani"	"Mechta ben el Bekouab"	593	16	"ouest ravin, nord rocher, sud rocher"	"ANOM GGA 50II 240"	
703	1853	"Douaïres"	13	"El Alalma"	51	"Sleman ben Miliani"	"Gherba"	594	110	"(Lekhal ben el Oussif) ouest gourbi, nord rocher, est chemin, sud marabout"	"ANOM GGA 50II 240"	
704	1853	"Douaïres"	13	"El Alalma"	51	"Sleman ben Miliani"	"Bou Ghobsa"	595	40	"ouest rocher, nord grotte appelé la Grotte de Fer"	"ANOM GGA 50II 240"	
